material_id,material_name,material_type,unit_of_measure,standard_cost,criticality,abc_class
MAT-00214,Zinc-Coated Housing,Raw Material,EA,43.76,High,B
MAT-00215,Bronze Bearing-XL,Component,M,12.02,Low,C
MAT-00216,Ceramic Shaft,Component,EA,1.93,Low,C
MAT-00217,Galvanized Steel Connector 17mm,Packaging,KG,18.13,Medium,C
MAT-00218,Rubber Bracket 7mm,Electronic,KG,15.22,Medium,B
MAT-00219,Nylon Housing 24mm,Raw Material,EA,1.84,Low,C
MAT-00220,Aluminum Rotor 61mm,Component,KG,1.45,Medium,A
MAT-00221,Aluminum Connector-M,Raw Material,EA,19.41,Low,C
MAT-00222,Chrome-Plated Bracket-S,Raw Material,EA,25.81,High,C
MAT-00223,Ceramic Stator Core,Component,EA,16.44,Low,C
MAT-00224,Cast Iron Bolt Set,Component,SET,3.2,High,C
MAT-00225,Zinc-Coated Valve Body-S,Raw Material,L,5.41,Low,C
MAT-00226,Bronze Switch 52mm,Fastener,KG,1.56,Medium,A
MAT-00227,Cast Iron Circuit Board,Raw Material,EA,5.42,Medium,C
MAT-00228,PVC Bracket 33mm,Raw Material,EA,6.17,Medium,C
MAT-00229,Nylon Wiring Harness-M,Component,M,8.82,High,A
MAT-00230,Rubber Sensor 60mm,Component,EA,3.97,Low,A
MAT-00231,Nylon Sensor-XL,Electronic,EA,15.43,Medium,C
MAT-00232,Bronze Circuit Board-L,Raw Material,KG,16.63,Medium,C
MAT-00233,Galvanized Steel Stator Core,Raw Material,EA,18.11,Medium,C
MAT-00234,Chrome-Plated Filter Cartridge-M,Raw Material,KG,5.5,Medium,A
MAT-00235,Copper Shaft,Raw Material,KG,7.24,Low,C
MAT-00236,Cast Iron Nozzle-XL,Component,M,7.72,Medium,A
MAT-00237,Stainless Steel Housing 24mm,Raw Material,M,1.84,Low,C
MAT-00238,Galvanized Steel Seal,Component,M,10.02,Medium,C
MAT-00239,Nylon Valve Body,Component,M,3.73,Medium,A
MAT-00240,Bronze Relay 14mm,Raw Material,EA,0.87,Low,B
MAT-00241,Nylon Diaphragm-L,Electronic,EA,15.38,Low,B
MAT-00242,Aluminum Bushing 6mm,Raw Material,EA,3.56,Medium,A
MAT-00243,Nylon Gasket-XL,Raw Material,M,13.12,Medium,C
MAT-00244,Chrome-Plated Diaphragm,Raw Material,SET,4.97,Low,C
MAT-00245,Ceramic Gasket,Raw Material,M,5.07,Low,B
MAT-00246,PVC Switch-M,Packaging,SET,2.26,Low,C
MAT-00247,PVC Cable Gland 6mm,Raw Material,KG,4.85,Medium,C
MAT-00248,Rubber Sensor 60mm,Packaging,M,5.74,Low,B
MAT-00249,Stainless Steel Switch 19mm,Raw Material,EA,3.27,Low,C
MAT-00250,Cast Iron Diaphragm 66mm,Component,EA,15.71,Medium,A
MAT-00251,Bronze Cable Gland 49mm,Electronic,EA,12.31,Low,A
MAT-00252,Ceramic Pulley 49mm,Electronic,EA,20.52,Medium,C
MAT-00253,Zinc-Coated Pulley 28mm,Electronic,EA,5.59,Low,C
MAT-00254,PVC Chain Link 48mm,Packaging,EA,20.61,Low,B
MAT-00255,Brass Seal,Raw Material,EA,9.92,Medium,C
MAT-00256,Bronze Bearing 62mm,Component,EA,4.77,Low,C
MAT-00257,Chrome-Plated Seal-XL,Component,EA,5.18,Medium,B
MAT-00258,Zinc-Coated Circuit Board,Component,EA,21.64,High,C
MAT-00259,Brass Bearing,Component,EA,8.3,High,B
MAT-00260,Brass Filter Cartridge,Component,KG,23.64,Low,B
MAT-00261,Cast Iron Chain Link 31mm,Electronic,SET,3.37,Medium,C
MAT-00262,Nylon Diaphragm 41mm,Raw Material,EA,3.24,Medium,A
MAT-00263,Nylon Relay,Component,KG,0.57,Medium,C
MAT-00264,Chrome-Plated O-Ring,Raw Material,EA,1.83,High,B
MAT-00265,Bronze Cable Gland 52mm,Component,EA,22.47,Medium,C
MAT-00266,Bronze Relay-L,Electronic,EA,4.76,Low,C
MAT-00267,Chrome-Plated Seal-S,Component,L,21.1,Medium,C
MAT-00268,Cast Iron Chain Link,Component,EA,48.64,Medium,A
MAT-00269,Brass Circuit Board 21mm,Electronic,KG,11.16,Medium,C
MAT-00270,Galvanized Steel Sprocket-S,Component,KG,3.67,Medium,C
MAT-00271,Chrome-Plated Wiring Harness-M,Electronic,KG,13.73,High,C
MAT-00272,Copper Bearing 19mm,Raw Material,EA,18.18,Medium,C
MAT-00273,Chrome-Plated Flange-S,Raw Material,KG,26.22,Low,B
MAT-00274,Aluminum Bushing 76mm,Electronic,EA,14.44,Low,C
MAT-00275,Galvanized Steel Terminal Block-L,Raw Material,KG,37.89,Low,C
MAT-00276,Cast Iron Shaft,Component,EA,1.45,Low,C
MAT-00277,Aluminum Filter Cartridge 77mm,Component,EA,7.65,Medium,C
MAT-00278,Bronze Coupling 37mm,Component,KG,4.12,High,C
MAT-00279,Nylon Rotor-L,Raw Material,EA,1.29,Medium,A
MAT-00280,Bronze Valve Body 45mm,Raw Material,SET,1.83,Medium,C
MAT-00281,Brass Circuit Board,Raw Material,SET,1.66,Medium,C
MAT-00282,Bronze Bolt Set 52mm,Raw Material,EA,1.76,Low,B
MAT-00283,Carbon Steel Bushing,Component,KG,18.15,Medium,B
MAT-00284,Nylon Filter Cartridge 16mm,Component,EA,5.16,Low,C
MAT-00285,Nylon Nozzle-M,Raw Material,EA,8.73,Medium,B
MAT-00286,Ceramic Cable Gland,Component,EA,4.83,Low,C
MAT-00287,Bronze Connector,Electronic,L,7.87,Low,C
MAT-00288,Copper Diaphragm 78mm,Packaging,EA,2.48,Medium,C
MAT-00289,Carbon Steel Connector 54mm,Component,EA,47.91,Low,C
MAT-00290,PVC Coupling,Electronic,M,58.26,High,C
MAT-00291,Ceramic Gasket 16mm,Raw Material,KG,106.03,Medium,C
MAT-00292,PVC Rotor 38mm,Fastener,EA,14.97,Low,C
MAT-00293,Stainless Steel Coupling-M,Raw Material,EA,4.59,High,C
MAT-00294,Galvanized Steel Bolt Set-XL,Component,EA,11.11,Medium,A
MAT-00295,Brass Valve Body-L,Component,KG,4.11,Low,B
MAT-00296,Copper Chain Link 69mm,Component,EA,13.06,Medium,B
MAT-00297,Nylon Diaphragm 58mm,Raw Material,EA,18.16,Low,C
MAT-00298,Bronze Relay 60mm,Raw Material,KG,2.31,Low,C
MAT-00299,Brass Coupling 57mm,Raw Material,KG,15.24,Medium,C
MAT-00300,Chrome-Plated Pulley-M,Raw Material,M,15.74,Low,C
MAT-00301,PVC Terminal Block,Raw Material,EA,6.29,Low,A
MAT-00302,Bronze Terminal Block-S,Electronic,EA,10.7,Medium,C
MAT-00303,Brass Bracket,Component,EA,11.06,High,A
MAT-00304,Chrome-Plated Impeller,Packaging,EA,14.98,High,C
MAT-00305,Chrome-Plated Gasket-XL,Fastener,KG,4.57,Low,C
MAT-00306,Rubber Connector,Component,EA,6.37,Medium,C
MAT-00307,PVC Chain Link,Component,M,5.83,Low,C
MAT-00308,Nylon Nozzle 48mm,Component,L,15.34,High,C
MAT-00309,Copper Terminal Block 47mm,Raw Material,M,3.43,High,A
MAT-00310,Rubber Cable Gland,Component,EA,1.91,Low,C
MAT-00311,Stainless Steel Bracket-M,Component,EA,128.24,High,C
MAT-00312,Brass Sprocket 63mm,Packaging,EA,21.39,Medium,B
MAT-00313,Galvanized Steel Sprocket 79mm,Raw Material,M,6.95,Medium,A
MAT-00314,Bronze Stator Core 36mm,Raw Material,KG,11.15,Medium,C
MAT-00315,Bronze Bracket-XL,Component,EA,13.58,Medium,B
MAT-00316,Ceramic Bracket,Fastener,KG,32.09,Medium,A
MAT-00317,Galvanized Steel Sprocket,Raw Material,EA,37.38,Medium,C
MAT-00318,Stainless Steel Pulley,Component,M,39.79,Medium,A
MAT-00319,Bronze Coupling-L,Component,EA,18.22,Medium,C
MAT-00320,PVC Seal 29mm,Raw Material,KG,6.96,Medium,A
MAT-00321,Carbon Steel O-Ring-M,Component,L,10.16,Low,C
MAT-00322,Zinc-Coated Wiring Harness-S,Raw Material,EA,14.2,Medium,B
MAT-00323,Ceramic Terminal Block-S,Electronic,M,9.51,Medium,B
MAT-00324,Aluminum Diaphragm 58mm,Raw Material,EA,13.0,Low,C
MAT-00325,Chrome-Plated Shaft-L,Component,SET,4.46,Medium,C
MAT-00326,Zinc-Coated Impeller,Raw Material,KG,15.44,Low,C
MAT-00327,PVC Gasket,Component,KG,5.26,Medium,C
MAT-00328,Copper Gasket,Component,KG,15.11,High,B
MAT-00329,Nylon Diaphragm-M,Component,EA,108.03,High,A
MAT-00330,Aluminum Connector,Raw Material,KG,6.44,Medium,C
MAT-00331,Carbon Steel Impeller,Fastener,EA,15.42,Medium,C
MAT-00332,Copper Shaft,Packaging,KG,18.6,Medium,B
MAT-00333,Aluminum Relay-L,Electronic,M,43.05,Low,C
MAT-00334,Carbon Steel Switch-S,Component,EA,5.01,Medium,B
MAT-00335,Rubber Flange-S,Raw Material,M,4.4,Low,C
MAT-00336,Stainless Steel Diaphragm-XL,Fastener,EA,34.29,Medium,C
MAT-00337,Chrome-Plated Stator Core 63mm,Raw Material,SET,4.04,Medium,B
MAT-00338,Aluminum Nozzle 50mm,Packaging,KG,2.93,Medium,C
MAT-00339,Rubber Circuit Board,Packaging,M,5.44,Low,C
MAT-00340,Cast Iron Spring 25mm,Component,KG,2.59,High,C
MAT-00341,Rubber Pulley 37mm,Component,SET,1.57,Low,C
MAT-00342,Copper Connector,Raw Material,SET,21.59,Medium,B
MAT-00343,Cast Iron Pulley-S,Component,KG,5.67,Low,B
MAT-00344,Chrome-Plated O-Ring,Electronic,KG,19.0,Low,C
MAT-00345,Cast Iron Impeller-M,Component,EA,5.82,Low,C
MAT-00346,Carbon Steel Filter Cartridge-XL,Component,KG,12.55,Medium,C
MAT-00347,Bronze Impeller 72mm,Raw Material,SET,14.33,Low,C
MAT-00348,Galvanized Steel Diaphragm 5mm,Component,M,6.47,Medium,C
MAT-00349,Aluminum Circuit Board-L,Component,EA,5.86,High,B
MAT-00350,Bronze Pulley 15mm,Raw Material,KG,5.67,Medium,A
MAT-00351,Ceramic Impeller,Component,EA,7.6,Low,C
MAT-00352,Copper Housing-L,Electronic,KG,4.94,Low,B
MAT-00353,Rubber Bolt Set 60mm,Component,SET,10.22,Low,C
MAT-00354,Carbon Steel Sprocket-S,Component,EA,3.21,Medium,C
MAT-00355,Aluminum Spring 5mm,Component,EA,2.45,Low,A
MAT-00356,PVC Nozzle-XL,Component,KG,13.19,Medium,A
MAT-00357,Aluminum O-Ring,Packaging,KG,2.63,Medium,C
MAT-00358,Stainless Steel Relay 29mm,Component,EA,3.29,Low,A
MAT-00359,Nylon Nozzle,Component,EA,1.67,Medium,C
MAT-00360,Brass Bolt Set 49mm,Fastener,EA,15.89,High,B
MAT-00361,Aluminum Switch-XL,Raw Material,EA,61.84,Medium,B
MAT-00362,Brass Bushing,Electronic,EA,41.25,Low,A
MAT-00363,Stainless Steel Stator Core 72mm,Raw Material,EA,19.11,Low,A
MAT-00364,Cast Iron Wiring Harness-L,Component,EA,46.34,Low,B
MAT-00365,Copper Impeller 11mm,Component,L,29.38,Medium,B
MAT-00366,Copper Gasket-M,Component,KG,121.54,Medium,C
MAT-00367,Rubber Coupling-M,Fastener,EA,4.93,Medium,A
MAT-00368,Brass Nozzle-S,Component,L,23.23,High,C
MAT-00369,Zinc-Coated O-Ring 4mm,Raw Material,EA,23.14,Low,B
MAT-00370,Brass Gasket-XL,Component,EA,25.88,Medium,B
MAT-00371,Brass Rotor-S,Raw Material,M,16.88,Medium,B
MAT-00372,Stainless Steel Connector 64mm,Component,EA,35.02,High,C
MAT-00373,Rubber Diaphragm-L,Component,EA,6.03,Medium,C
MAT-00374,Brass Flange,Packaging,M,1.2,Medium,C
MAT-00375,Zinc-Coated Nozzle,Component,KG,30.9,High,B
MAT-00376,Ceramic Seal-L,Component,EA,67.85,Medium,C
MAT-00377,Nylon Sensor,Component,EA,29.8,High,C
MAT-00378,Aluminum Bushing,Component,EA,28.81,Medium,A
MAT-00379,Chrome-Plated Housing-S,Raw Material,M,30.02,Low,C
MAT-00380,Zinc-Coated Connector-S,Component,KG,19.84,Medium,C
MAT-00381,Galvanized Steel Spring,Component,M,13.43,Medium,B
